complaint_text,location,timestamp,population_density
Garbage overflowing near market area,Dwarka Sector 3,2025-08-01 09:12:33,18500
Missed pickup since 3 days,Rohini Sector 7,2025-08-01 10:45:12,22300
Uncollected waste attracting stray dogs,Laxmi Nagar,2025-08-01 12:22:55,29500
Dustbin completely full since yesterday,Janakpuri West,2025-08-01 14:18:41,21000
Garbage scattered outside residential gate,Sangam Vihar,2025-08-01 16:09:28,31000
Overflowing community bin near metro station,Karol Bagh,2025-08-02 08:15:22,27000
Foul smell from unattended waste pile,Mayur Vihar Phase 1,2025-08-02 11:33:14,24000
Sanitation workers skipped today's collection,Chandni Chowk,2025-08-02 17:42:09,33000
Rotten vegetables dumped in open plot,Okhla Phase 2,2025-08-02 19:55:43,26000
Garbage truck not arriving on schedule,Saket,2025-08-03 07:25:18,19500
Waste burning causing smoke pollution,Preet Vihar,2025-08-03 09:44:26,25000
Street littered after weekly market,Uttam Nagar,2025-08-03 12:18:37,30000
Overflowing garbage bin near school,Patel Nagar,2025-08-03 15:21:55,27500
Improper waste segregation in colony,Shalimar Bagh,2025-08-04 08:09:31,20500
Missed garbage pickup for two consecutive days,Seelampur,2025-08-04 10:30:47,32000
Garbage scattered by stray animals,Malviya Nagar,2025-08-04 13:12:08,21500
Community dustbin damaged and unusable,Connaught Place,2025-08-04 18:45:22,34000
Accumulated waste blocking narrow lane,Trilokpuri,2025-08-05 07:55:36,29000
Unhygienic waste disposal near hospital,Pitampura,2025-08-05 09:27:14,20000
Overflowing garbage during festival season,Shahdara,2025-08-05 16:40:11,28500
Garbage pile growing near park entrance,Kirti Nagar,2025-08-06 08:11:29,23000
Waste collection vehicle leaking liquid,Green Park,2025-08-06 11:22:58,19000
Garbage dumped illegally on roadside,Model Town,2025-08-06 14:07:16,21000
Missed collection reported by entire block,Najafgarh,2025-08-06 19:41:50,17500
Overflowing bin near bus stop,Rajouri Garden,2025-08-07 07:16:38,26000
Foul odor spreading from drain garbage,Burari,2025-08-07 10:52:09,22000
Waste not cleared after heavy rainfall,Kalkaji,2025-08-07 15:28:44,24500
Garbage pile attracting mosquitoes,Bawana,2025-08-07 18:34:12,18000
Uncollected dry waste for 4 days,Vasant Kunj,2025-08-08 08:19:25,20000
Plastic waste blocking drainage,Adarsh Nagar,2025-08-08 12:41:07,30000
Garbage overflowing near temple premises,Dwarka Sector 3,2025-08-08 16:10:52,18500
Waste truck skipped street again,Rohini Sector 7,2025-08-09 07:24:38,22300
Rotten waste smell unbearable,Laxmi Nagar,2025-08-09 09:55:11,29500
Garbage thrown outside designated area,Janakpuri West,2025-08-09 13:22:44,21000
Uncollected wet waste attracting flies,Sangam Vihar,2025-08-09 17:18:26,31000
Missed municipal waste pickup,Karol Bagh,2025-08-10 08:42:17,27000
Waste accumulation near apartment basement,Mayur Vihar Phase 1,2025-08-10 10:58:39,24000
Overflowing trash near shopping complex,Chandni Chowk,2025-08-10 15:29:55,33000
Garbage not lifted despite complaint,Okhla Phase 2,2025-08-10 18:11:22,26000
Street corner filled with waste,Saket,2025-08-11 07:33:48,19500
Improper waste dumping by vendors,Preet Vihar,2025-08-11 11:04:37,25000
Garbage truck delayed by 48 hours,Uttam Nagar,2025-08-11 16:45:14,30000
Overflowing bin in high density area,Patel Nagar,2025-08-12 09:22:16,27500
Garbage heap growing daily,Shalimar Bagh,2025-08-12 12:39:55,20500
No waste collection during weekend,Seelampur,2025-08-12 17:12:48,32000
Garbage mixed with sewage water,Malviya Nagar,2025-08-13 08:44:26,21500
Uncleared waste after local event,Connaught Place,2025-08-13 11:59:33,34000
Community bin missing lid,Trilokpuri,2025-08-13 15:41:09,29000
Waste overflowing due to monsoon rains,Pitampura,2025-08-14 09:18:52,20000
Garbage blocking residential entrance,Shahdara,2025-08-14 14:55:27,28500
Unattended trash near food stalls,Kirti Nagar,2025-08-14 18:06:31,23000
Waste not cleared near metro exit,Green Park,2025-08-15 08:32:10,19000
Excess waste generated during celebration,Model Town,2025-08-15 12:18:19,21000
Rotten garbage left for days,Najafgarh,2025-08-15 16:40:33,17500
Overflowing public waste container,Rajouri Garden,2025-08-16 07:25:55,26000
Garbage dumped near water pipeline,Burari,2025-08-16 11:08:22,22000
Missed waste pickup after holiday,Kalkaji,2025-08-16 14:57:44,24500
Trash scattered across street,Bawana,2025-08-16 18:29:17,18000
Bin overflowing near busy intersection,Vasant Kunj,2025-08-17 09:15:32,20000
